,Unnamed: 0,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome,Date,Opponent,Home_Barrels,Home_Barrel %,Home_Max EV,Home_Avg EV,Home_Launch Angle,Home_xBA,Home_xSLG,Home_xWOBA,Home_WOBA,Home_Hard Hit %,,Away_Barrels,Away_Barrel %,Away_Max EV,Away_Avg EV,Away_Launch Angle,Away_xBA,Away_xSLG,Away_xWOBA,Away_WOBA,Away_Hard Hit %
5,0,40030,Mets,1,7,3,4/3/2016,on grass,Night Game,Royals,0,9,4,7:38 p.m. Local,Kauffman Stadium,Sunday,74,14, from Right to Left,Sunny,7,3.216666667,regular season,1,0,Win,4/3/2016,Mets,0,0,112.7,84.6,5.8,0.243,0.292,0.277,0.281,35.7,,2,8.3,106.2,81.7,14.4,0.218,0.368,0.319,0.273,20.8
10,2458,31042,Blue Jays,2,7,5,4/3/2016,on turf,Day Game,Rays,1,7,3,4:09 p.m. Local,Tropicana Field,Sunday,72,0, in unknown direction,In Dome,8,2.85,regular season,0,1,Loss,4/3/2016,Blue Jays,1,3.6,106.4,84.6,11.1,0.238,0.341,0.264,0.232,21.4,,1,5.3,108.7,85.6,25.1,0.262,0.348,0.3,0.256,42.1
15,2459,39500,Cardinals,0,5,1,4/3/2016,on grass,Day Game,Pirates,1,9,4,1:15 p.m. Local,PNC Park,Sunday,39,14, out to Leftfield,Unknown,5,3.033333333,regular season,1,0,Win,4/3/2016,Cardinals,2,8,111.7,83,14.9,0.337,0.537,0.424,0.386,40,,0,0,106.7,78.1,9,0.188,0.216,0.26,0.225,27.8
37,1,21621,Phillies,0,5,2,4/6/2016,on grass,Night Game,Reds,0,8,3,7:11 p.m. Local,Great American Ball Park,Wednesday,55,24, from Right to Left,Overcast,5,2.383333333,regular season,1,0,Win,4/6/2016,Phillies,1,4.2,103.6,81.8,18.7,0.169,0.299,0.199,0.258,16.7,,3,14.3,110.8,86.4,0.2,0.234,0.442,0.311,0.239,38.1
57,2,12622,Twins,0,5,2,4/6/2016,on grass,Night Game,Orioles,0,9,4,7:07 p.m. Local,Oriole Park at Camden Yards,Wednesday,48,7, out to Leftfield,Unknown,6,3.183333333,regular season,1,0,Win,4/6/2016,Twins,1,3.8,108.8,84.2,19.8,0.267,0.386,0.342,0.367,34.6,,0,0,106.2,82,27.5,0.152,0.25,0.254,0.291,31.6
73,3,18531,Nationals,0,8,3,4/6/2016,on grass,Night Game,Braves,1,8,1,7:10 p.m. Local,Turner Field,Wednesday,65,10, from Right to Left,Cloudy,4,2.883333333,regular season,0,1,Loss,4/6/2016,Nationals,0,0,110.6,84.2,12.5,0.245,0.33,0.289,0.268,39.1,,1,3.6,110.7,90.2,20,0.252,0.387,0.288,0.241,53.6
102,4,18572,Rockies,1,8,4,4/6/2016,on grass,Day Game,D-Backs,0,8,3,12:40 p.m. Local,Chase Field,Wednesday,77,0, in unknown direction,In Dome,7,2.65,regular season,0,1,Loss,4/6/2016,Rockies,2,6.7,106.7,86.5,12.7,0.273,0.406,0.315,0.252,26.7,,3,9.7,108.1,83.8,11.6,0.291,0.515,0.392,0.47,35.5
139,2438,26945,Mariners,0,14,9,4/6/2016,on grass,Day Game,Rangers,0,7,5,1:09 p.m. Local,Globe Life Park in Arlington,Wednesday,74,11, out to Centerfield,Sunny,14,2.933333333,regular season,0,1,Loss,4/6/2016,Mariners,1,4.5,106.3,79.6,20.4,0.191,0.301,0.24,0.258,22.7,,2,9.1,110,84.8,9.4,0.229,0.398,0.306,0.243,40.9
166,2439,14257,Blue Jays,0,6,3,4/6/2016,on turf,Day Game,Rays,0,10,5,1:10 p.m. Local,Tropicana Field,Wednesday,72,0, in unknown direction,In Dome,8,2.783333333,regular season,1,0,Win,4/6/2016,Blue Jays,4,15.4,113.6,87.9,23.3,0.329,0.631,0.423,0.367,42.3,,1,3.6,104.6,79.8,6.8,0.259,0.367,0.296,0.377,25
188,2440,30054,Dodgers,1,11,7,4/6/2016,on grass,Night Game,Padres,0,5,0,6:12 p.m. Local,Petco Park,Wednesday,65,7, in unknown direction,Overcast,7,2.95,regular season,0,1,Loss,4/6/2016,Dodgers,0,0,101.7,78.7,7.1,0.187,0.216,0.18,0.137,20,,2,9.5,109,85.4,13.6,0.209,0.352,0.267,0.194,33.3
